filename,phoneme,start,end,duration,jitter,shimmer,hnr
Aardema_maiden_t.wav,ɛ,57.1,57.17,70.0,,,
Aardema_maiden_t.wav,yː,57.27,57.33,60.0,,,
Aardema_maiden_t.wav,ɛ,57.41,57.47,60.0,,,
Aardema_maiden_t.wav,aɪ,57.58,57.65,70.0,,,
Aardema_maiden_t.wav,ɔ,57.78,57.82,40.0,,,
Aardema_maiden_t.wav,a,57.88,57.96,80.0,,,-1.859
Aardema_maiden_t.wav,ə,58.01,58.06,50.0,,,
Aardema_maiden_t.wav,aʊ,58.18,58.26,80.0,,,6.452
Aardema_maiden_t.wav,ʊ,58.34,58.39,50.0,,,
Aardema_maiden_t.wav,a,58.6,58.65,50.0,,,
Aardema_maiden_t.wav,ɑː,58.78,58.86,80.0,,,8.112
Aardema_maiden_t.wav,ʊ,58.94,59.0,60.0,,,
Aardema_maiden_t.wav,a,59.15,59.23,80.0,,,0.82
Aardema_maiden_t.wav,eː,59.42,59.52,100.0,,,4.178
Aardema_maiden_t.wav,iː,59.61,59.67,60.0,,,
Aardema_maiden_t.wav,ɛ,60.65,60.7,50.0,,,
Aardema_maiden_t.wav,ɛ,60.77,60.85,80.0,,,-0.742
Aardema_maiden_t.wav,a,60.95,61.03,80.0,,,-0.423
Aardema_maiden_t.wav,a,61.1,61.16,60.0,,,
Aardema_maiden_t.wav,ɔ,61.26,61.32,60.0,,,
Aardema_maiden_t.wav,ʊ,61.38,61.42,40.0,,,
Aardema_maiden_t.wav,ʊ,61.65,61.72,70.0,,,
Aardema_maiden_t.wav,ɑː,62.75,62.86,110.0,,,4.229
Aardema_maiden_t.wav,ʊ,62.97,63.03,60.0,,,
Aardema_maiden_t.wav,ʊ,63.14,63.2,60.0,,,
Aardema_maiden_t.wav,a,63.26,63.34,80.0,,,7.94
Aardema_maiden_t.wav,ə,63.43,63.51,80.0,,,-4.56
Aardema_maiden_t.wav,ɑː,63.93,63.98,50.0,,,
Aardema_maiden_t.wav,oː,64.04,64.11,70.0,,,
Aardema_maiden_t.wav,ɑː,64.27,64.38,110.0,,,
Aardema_maiden_t.wav,aɪ,64.52,64.6,80.0,,,-2.994
Aardema_maiden_t.wav,ə,64.67,64.72,50.0,,,
Aardema_maiden_t.wav,aɪ,64.92,65.0,80.0,,,-1.513
Aardema_maiden_t.wav,ə,65.07,65.1,30.0,,,
Aardema_maiden_t.wav,ə,65.19,65.23,40.0,,,
Aardema_maiden_t.wav,ə,65.28,65.32,40.0,,,
Aardema_maiden_t.wav,ɑː,65.41,65.51,100.0,,,7.225
Aardema_maiden_t.wav,ə,65.59,65.63,40.0,,,
Aardema_maiden_t.wav,oː,65.7,65.76,60.0,,,
Aardema_maiden_t.wav,ə,65.81,65.84,30.0,,,
Aardema_maiden_t.wav,a,65.91,66.0,90.0,,,-1.946
Aardema_maiden_t.wav,ɜ,66.06,66.12,60.0,,,
Aardema_maiden_t.wav,ɔ,66.29,66.35,60.0,,,
Aardema_maiden_t.wav,ə,66.41,66.47,60.0,,,
Aardema_maiden_t.wav,ɛ,66.55,66.6,50.0,,,
Aardema_maiden_t.wav,a,66.79,66.85,60.0,,,
Aardema_maiden_t.wav,oː,66.91,66.99,80.0,,,8.368
Aardema_maiden_t.wav,ə,67.06,67.09,30.0,,,
Aardema_maiden_t.wav,oː,67.21,67.31,100.0,,,
Aardema_maiden_t.wav,ə,67.4,67.45,50.0,,,
Aardema_maiden_t.wav,ə,69.14,69.27,130.0,,,0.338
Aardema_maiden_t.wav,eː,69.37,69.43,60.0,,,
Aardema_maiden_t.wav,ə,69.49,69.55,60.0,,,
Aardema_maiden_t.wav,a,69.62,69.7,80.0,,,2.065
Aardema_maiden_t.wav,ə,69.85,69.91,60.0,,,
Aardema_maiden_t.wav,aɪ,69.96,70.03,70.0,,,
Aardema_maiden_t.wav,ə,70.09,70.14,50.0,,,
Aardema_maiden_t.wav,ɛ,70.19,70.23,40.0,,,
Aardema_maiden_t.wav,ɛ,70.38,70.45,70.0,,,
Aardema_maiden_t.wav,a,70.57,70.67,100.0,,,-1.741
Aardema_maiden_t.wav,ə,70.75,70.8,50.0,,,
Aardema_maiden_t.wav,ɪ,70.85,70.9,50.0,,,
Aardema_maiden_t.wav,ʊ,71.02,71.08,60.0,,,
Aardema_maiden_t.wav,a,71.3,71.37,70.0,,,
Aardema_maiden_t.wav,ə,71.44,71.49,50.0,,,
Aardema_maiden_t.wav,ɛ,71.56,71.64,80.0,,,-2.814
Aardema_maiden_t.wav,yː,71.71,71.77,60.0,,,
Aardema_maiden_t.wav,ɑː,71.91,72.03,120.0,,,0.4
Aardema_maiden_t.wav,iː,72.16,72.28,120.0,,,2.162
Aardema_maiden_t.wav,a,72.88,73.01,130.0,,,-4.529
Aardema_maiden_t.wav,oː,73.14,73.21,70.0,,,
Aardema_maiden_t.wav,ʊ,73.34,73.41,70.0,,,
Aardema_maiden_t.wav,ʊ,73.45,73.51,60.0,,,
Aardema_maiden_t.wav,iː,73.62,73.69,70.0,,,
Aardema_maiden_t.wav,iː,73.79,73.93,140.0,,,0.256
Aardema_maiden_t.wav,oː,74.05,74.12,70.0,,,
Aardema_maiden_t.wav,ʊ,74.17,74.21,40.0,,,
Aardema_maiden_t.wav,ə,74.27,74.32,50.0,,,
Aardema_maiden_t.wav,aɪ,74.38,74.47,90.0,,,1.29
Aardema_maiden_t.wav,ʊ,74.57,74.63,60.0,,,
Aardema_maiden_t.wav,ʊ,74.67,74.71,40.0,,,
Aardema_maiden_t.wav,aɪ,74.82,74.91,90.0,,,4.551
Aardema_maiden_t.wav,aɪ,75.0,75.07,70.0,,,
Aardema_maiden_t.wav,a,76.18,76.22,40.0,,,
Aardema_maiden_t.wav,a,76.27,76.31,40.0,,,
Aardema_maiden_t.wav,ɛ,76.42,76.5,80.0,,,
Aardema_maiden_t.wav,ə,76.58,76.63,50.0,,,
Aardema_maiden_t.wav,ɛ,76.73,76.79,60.0,,,
Aardema_maiden_t.wav,ɛ,76.91,76.95,40.0,,,
Aardema_maiden_t.wav,a,77.08,77.14,60.0,,,
Aardema_maiden_t.wav,oː,77.2,77.28,80.0,,,6.899
Aardema_maiden_t.wav,aɪ,77.63,77.69,60.0,,,
Aardema_maiden_t.wav,ɛ,77.76,77.84,80.0,,,6.483
Aardema_maiden_t.wav,eː,77.92,77.99,70.0,,,
Aardema_maiden_t.wav,ɪ,78.05,78.09,40.0,,,
Aardema_maiden_t.wav,a,78.17,78.26,90.0,,,2.603
Aardema_maiden_t.wav,ɛ,78.47,78.53,60.0,,,
Aardema_maiden_t.wav,ə,78.59,78.63,40.0,,,
Aardema_maiden_t.wav,ʊ,78.68,78.73,50.0,,,
Aardema_maiden_t.wav,a,78.82,78.92,100.0,,,-0.151
Aardema_maiden_t.wav,iː,79.04,79.11,70.0,,,
Aardema_maiden_t.wav,a,79.18,79.24,60.0,,,
Aardema_maiden_t.wav,ə,79.31,79.35,40.0,,,
Aardema_maiden_t.wav,ɛ,79.42,79.52,100.0,,,-0.246
Aardema_maiden_t.wav,aʊ,79.69,79.82,130.0,,,9.985
Aardema_maiden_t.wav,iː,79.97,80.03,60.0,,,
Aardema_maiden_t.wav,ɛ,80.08,80.13,50.0,,,
Aardema_maiden_t.wav,ɛ,80.3,80.4,100.0,,,3.563
Aardema_maiden_t.wav,aɪ,80.66,80.76,100.0,,,4.36
Aardema_maiden_t.wav,ɛ,80.92,80.98,60.0,,,
Aardema_maiden_t.wav,ə,81.03,81.07,40.0,,,
Aardema_maiden_t.wav,ʊ,81.13,81.16,30.0,,,
Aardema_maiden_t.wav,ɪ,81.2,81.26,60.0,,,
Aardema_maiden_t.wav,i,81.33,81.4,70.0,,,
Aardema_maiden_t.wav,ɛ,81.46,81.53,70.0,,,
Aardema_maiden_t.wav,ə,81.6,81.65,50.0,,,
Aardema_maiden_t.wav,a,81.69,81.74,50.0,,,
Aardema_maiden_t.wav,ɛ,82.64,82.78,140.0,,,0.292
Aardema_maiden_t.wav,ɛ,82.89,82.96,70.0,,,
Aardema_maiden_t.wav,ʊ,83.09,83.15,60.0,,,
Aardema_maiden_t.wav,uː,83.23,83.3,70.0,,,
Aardema_maiden_t.wav,y,83.35,83.4,50.0,,,
Aardema_maiden_t.wav,ɛ,83.46,83.52,60.0,,,
Aardema_maiden_t.wav,ɛ,83.62,83.67,50.0,,,
Aardema_maiden_t.wav,ʊ,83.83,83.89,60.0,,,
Aardema_maiden_t.wav,a,84.08,84.16,80.0,,,
Aardema_maiden_t.wav,aɪ,84.26,84.38,120.0,,,3.752
Aardema_maiden_t.wav,ʊ,85.26,85.39,130.0,,,-0.204
Aardema_maiden_t.wav,a,85.48,85.54,60.0,,,
Aardema_maiden_t.wav,ɔ,85.64,85.68,40.0,,,
Aardema_maiden_t.wav,ə,85.75,85.81,60.0,,,
Aardema_maiden_t.wav,iː,85.93,85.99,60.0,,,
Aardema_maiden_t.wav,iː,86.08,86.17,90.0,,,-1.49
Aardema_maiden_t.wav,a,86.24,86.31,70.0,,,
Aardema_maiden_t.wav,oː,86.66,86.82,160.0,,,4.419
Aardema_maiden_t.wav,aʊ,86.98,87.1,120.0,,,-1.126
